Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
26.4	100	250	-12.57	137.5
26.5	100	250	-12.49	137.6
26.6	100	250	-12.4	137.7
26.7	100	250	-12.32	137.8
26.8	100	250	-12.24	137.8
26.9	100	250	-12.15	137.9
27	100	250	-12.07	138
27.1	100	250	-11.99	138.1
27.2	100	250	-11.91	138.2
27.3	100	250	-11.83	138.2
27.4	100	250	-11.75	138.3
27.5	100	250	-11.67	138.4
27.6	100	250	-11.6	138.5
27.7	100	250	-11.52	138.6
27.8	100	250	-11.44	138.6
27.9	100	250	-11.37	138.7
28	100	250	-11.29	138.8
28.1	100	250	-11.21	138.9
28.2	100	250	-11.14	138.9
28.3	100	250	-11.06	139
28.4	100	250	-10.99	139.1
28.5	100	250	-10.92	139.2
28.6	100	250	-10.84	139.2
28.7	100	250	-10.77	139.3
28.8	100	250	-10.7	139.4
28.9	100	250	-10.63	139.4
29	100	250	-10.56	139.5
29.1	100	250	-10.48	139.6
29.2	100	250	-10.41	139.7
29.3	100	250	-10.34	139.7
29.4	100	250	-10.28	139.8
29.5	100	250	-10.21	139.9
29.6	100	250	-10.14	139.9
29.7	100	250	-10.07	140
29.8	100	250	-10	140.1
29.9	100	250	-9.936	140.1
30	100	250	-9.869	140.2
30.1	100	250	-9.803	140.3
30.2	100	250	-9.738	140.3
30.3	100	250	-9.673	140.4
30.4	100	250	-9.608	140.5
30.5	100	250	-9.543	140.5
30.6	100	250	-9.48	140.6
30.7	100	250	-9.416	140.6
30.8	100	250	-9.353	140.7
30.9	100	250	-9.29	140.8
31	100	250	-9.228	140.8
31.1	100	250	-9.166	140.9
31.2	100	250	-9.105	141
31.3	100	250	-9.044	141
31.4	100	250	-8.983	141.1
31.5	100	250	-8.923	141.1
31.6	100	250	-8.864	141.2
31.7	100	250	-8.804	141.3
31.8	100	250	-8.745	141.3
31.9	100	250	-8.687	141.4
32	100	250	-8.628	141.4
32.1	100	250	-8.571	141.5
32.2	100	250	-8.513	141.5
32.3	100	250	-8.456	141.6
32.4	100	250	-8.4	141.7
32.5	100	250	-8.343	141.7
32.6	100	250	-8.288	141.8
32.7	100	250	-8.232	141.8
32.8	100	250	-8.177	141.9
32.9	100	250	-8.122	141.9
33	100	250	-8.068	142
33.1	100	250	-8.014	142
33.2	100	250	-7.96	142.1
33.3	100	250	-7.907	142.1
33.4	100	250	-7.854	142.2
33.5	100	250	-7.801	142.3
33.6	100	250	-7.749	142.3
33.7	100	250	-7.697	142.4
33.8	100	250	-7.646	142.4
33.9	100	250	-7.594	142.5
34	100	250	-7.543	142.5
34.1	100	250	-7.493	142.6
34.2	100	250	-7.443	142.6
34.3	100	250	-7.393	142.7
34.4	100	250	-7.343	142.7
34.5	100	250	-7.294	142.8
34.6	100	250	-7.245	142.8
34.7	100	250	-7.197	142.9
34.8	100	250	-7.149	142.9
34.9	100	250	-7.101	142.9
35	100	250	-7.053	143
35.1	100	250	-7.006	143
35.2	100	250	-6.959	143.1
35.3	100	250	-6.913	143.1
35.4	100	250	-6.866	143.2
35.5	100	250	-6.82	143.2
35.6	100	250	-6.775	143.3
