Time_s,Load_kW,P_grid_kW,P_bat_kW,A_window_kW,P_req_kW,en,comm,alarm
15.800,200.000,200.000,0.000,200.000,0.000,1,0,0
15.900,200.000,200.000,0.000,200.000,0.000,1,0,0
16.000,200.000,200.000,0.000,200.000,0.000,1,0,0
16.100,200.000,200.000,0.000,200.000,0.000,1,0,0
16.200,200.000,200.000,0.000,200.000,0.000,1,0,0
16.300,200.000,200.000,0.000,200.000,0.000,1,0,0
16.400,200.000,200.000,0.000,200.000,0.000,1,0,0
16.500,200.000,200.000,0.000,200.000,0.000,1,0,0
16.600,200.000,200.000,0.000,200.000,0.000,1,0,0
16.700,200.000,200.000,0.000,200.000,0.000,1,0,0
16.800,200.000,200.000,0.000,200.000,0.000,1,0,0
16.900,200.000,200.000,0.000,200.000,0.000,1,0,0
17.000,200.000,200.000,0.000,200.000,0.000,1,0,0
17.100,200.000,200.000,0.000,200.000,0.000,1,0,0
17.200,200.000,200.000,0.000,200.000,0.000,1,0,0
17.300,200.000,200.000,0.000,200.000,0.000,1,0,0
17.400,200.000,200.000,0.000,200.000,0.000,1,0,0
17.500,200.000,200.000,0.000,200.000,0.000,1,0,0
17.600,200.000,200.000,0.000,200.000,0.000,1,0,0
17.700,200.000,200.000,0.000,200.000,0.000,1,0,0
17.800,200.000,200.000,0.000,200.000,0.000,1,0,0
17.900,200.000,200.000,0.000,200.000,0.000,1,0,0
18.000,200.000,200.000,0.000,200.000,0.000,1,0,0
18.100,200.000,200.000,0.000,200.000,0.000,1,0,0
18.200,200.000,200.000,0.000,200.000,0.000,1,0,0
18.300,200.000,200.000,0.000,200.000,0.000,1,0,0
18.400,200.000,200.000,0.000,200.000,0.000,1,0,0
18.500,200.000,200.000,0.000,200.000,0.000,1,0,0
18.600,200.000,200.000,0.000,200.000,0.000,1,0,0
18.700,200.000,200.000,0.000,200.000,0.000,1,0,0
18.800,200.000,200.000,0.000,200.000,0.000,1,0,0
18.900,200.000,200.000,0.000,200.000,0.000,1,0,0
19.000,200.000,200.000,0.000,200.000,0.000,1,0,0
19.100,200.000,200.000,0.000,200.000,0.000,1,0,0
19.200,200.000,200.000,0.000,200.000,0.000,1,0,0
19.300,200.000,200.000,0.000,200.000,0.000,1,0,0
19.400,200.000,200.000,0.000,200.000,0.000,1,0,0
19.500,200.000,200.000,0.000,200.000,0.000,1,0,0
19.600,200.000,200.000,0.000,200.000,0.000,1,0,0
19.700,200.000,200.000,0.000,200.000,0.000,1,0,0
19.800,200.000,200.000,0.000,200.000,0.000,1,0,0
19.900,200.000,200.000,0.000,200.000,0.000,1,0,0
20.000,200.000,200.000,0.000,200.000,0.000,1,0,0
20.100,200.000,200.000,0.000,200.000,0.000,1,0,0
20.200,200.000,200.000,0.000,200.000,0.000,1,0,0
20.300,200.000,200.000,0.000,200.000,0.000,1,0,0
20.400,200.000,200.000,0.000,200.000,0.000,1,0,0
20.500,200.000,200.000,0.000,200.000,0.000,1,0,0
20.600,200.000,200.000,0.000,200.000,0.000,1,0,0
